experiment_accession	is_control	biosample	target	run_type	n_files	bio_reps	tech_reps	platform	sex	organism	replication_type
ENCSR461VPV	True	small intestine		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR462ZQL	True	pancreas		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR463NAD	False	esophagus squamous epithelium	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR465UAX	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR470SYZ	True	foreskin fibroblast		paired-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR473PNT	False	mesendoderm	H3K27ac	single-ended	2	3	3	Illumina Genome Analyzer IIx	male	Homo sapiens	isogenic
ENCSR474WLZ	True	esophagus muscularis mucosa		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR475NOQ	True	thyroid gland		single-ended	5	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR479BTD	True	placental basal plate		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR479HSY	True	transverse colon		single-ended	12	2	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR480NNC	True	pancreas		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR480OHP	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 4000	male	Homo sapiens	isogenic
ENCSR481QDJ	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR481SJM	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR489LNU	False	motor neuron	H3K27ac	paired-ended	2	2	2	Illumina NovaSeq 6000	female	Homo sapiens	isogenic
ENCSR490NCK	True	pancreas		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR491TAD	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR492PXH	False	endocrine pancreas	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR494MDB	False	caudate nucleus	H3K27ac	single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR494WCX	False	left lung	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR494YJW	True	ascending aorta		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR495HIT	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR498NGT	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR498ZRC	False	placenta	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR499IIR	False	chorion	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR500YBS	False	thyroid gland	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR503BIB	True	pancreas		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR505OPZ	False	iPS DF 19.11	H3K27ac	single-ended	3	2	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR505YFA	False	upper lobe of left lung	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR506FPQ	False	BLaER1	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR507SRD	False	trophoblast	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR507UDH	False	hepatocyte	H3K27ac	single-ended	3	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR510OLN	True	CD4-positive, alpha-beta T cell		single-ended	5	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR510RPC	False	left lung	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR514EZP	True	esophagus squamous epithelium		single-ended	10	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR516LQO	False	tibial nerve	H3K27ac	single-ended	6	1	3	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR517NSQ	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR518COE	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR519CFV	False	aorta	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR519UXW	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR520BIM	False	body of pancreas	H3K27ac	single-ended	3	2	3	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR520KVD	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR522MTS	False	esophagus muscularis mucosa	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR524MPL	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR524NCH	True	sigmoid colon		single-ended	6	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR526EXI	True	heart left ventricle		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR526RGE	False	placental basal plate	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR528SMB	True	foreskin keratinocyte		paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	anisogenic
ENCSR529OPX	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR529SWW	True	H9		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR531AUV	True	suprapubic skin		single-ended	6	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR531MLI	False	dendritic cell	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR531VWS	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR532SRK	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	12	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR534CZJ	True	HUES6		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR534KYQ	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR534WQA	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR535GFO	False	tibial artery	H3K27ac	single-ended	4	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR535VLV	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR538MSN	True	stomach		single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR539HNK	True	stomach		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR540ADS	False	lung	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR540KQC	False	motor neuron	H3K27ac	paired-ended	2	2	2	Illumina NovaSeq 6000	male	Homo sapiens	isogenic
ENCSR541DBO	True	small intestine		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR543CPW	False	small intestine	H3K27ac	single-ended	3	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR543ZVZ	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR545WFH	True	esophagus muscularis mucosa		single-ended	10	2	4	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR546SDM	False	CD4-positive, alpha-beta T cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR548SPY	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR549SVK	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR549ZDH	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR550WUX	False	lung	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR554HDT	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR554RPI	True	mesodermal cell		single-ended	4	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR555HJT	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR556OGN	True	ectodermal cell		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR557DFM	False	heart left ventricle	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR557HEX	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR557RDB	True	neutrophil		single-ended	8	2	2	Illumina HiSeq 2500	unknown	Homo sapiens	anisogenic
ENCSR557RJE	True	colonic mucosa		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR559IPI	True	prostate gland		single-ended	10	2	5	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR560BEL	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR561KOM	False	CD4-positive, alpha-beta T cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR561VNL	False	heart left ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR561YSH	False	sigmoid colon	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR562HZE	True	angular gyrus		single-ended	24	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR563EFJ	True	fibroblast of breast		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR563OLJ	True	spleen		single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR563SVE	True	effector memory CD4-positive, alpha-beta T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR564GJK	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR564IGJ	False	SK-N-SH	H3K27ac	paired-ended	2	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR564VBC	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR564WJA	False	spleen	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR566AUD	True	BLaER1		single-ended	2	2	2	Illumina HiSeq 2000	female	Homo sapiens	isogenic
ENCSR568JFZ	True	skin epidermis		single-ended	6	1	1	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR569IBY	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR569IIN	True	OCI-LY1		single-ended	4	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR569NEE	True	H1		single-ended	2	1	1	Illumina Genome Analyzer II	male	Homo sapiens	unreplicated
ENCSR570YPW	True	subcutaneous abdominal adipose tissue		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR572GRM	True	dorsolateral prefrontal cortex		single-ended	24	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR574WQE	True	sigmoid colon		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR576VXL	True	dorsolateral prefrontal cortex		single-ended	20	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR577BCL	True	lung		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR577GVS	False	CD4-positive, CD25-positive, alpha-beta regulatory T cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR579YLO	False	fibroblast of breast	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR580WGM	True	iPS-18a		single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR581KPP	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR582UTE	False	stomach	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR583BXC	True	dorsolateral prefrontal cortex		single-ended	16	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR583DLA	True	dorsolateral prefrontal cortex		single-ended	2	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR583MIW	True	ovary		single-ended	16	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR583XAM	True	skin epidermis		single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR585FQO	True	C4-2B		paired-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR585UEE	True	peripheral blood mononuclear cell		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR586IQI	True	trophoblast		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR589NSH	True	stomach smooth muscle		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR590YGY	True	foreskin fibroblast		single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR592KRF	True	heart right ventricle		single-ended	2	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR593INW	False	spleen	H3K27ac	single-ended	14	2	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR593KDJ	False	right atrium auricular region	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR595SMV	True	CD4-positive, alpha-beta memory T cell		single-ended	6	2	2	Illumina HiSeq 2000	unknown	Homo sapiens	anisogenic
ENCSR596PFU	False	body of pancreas	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR597BWL	False	thyroid gland	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR597PTH	True	heart right ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR597RXN	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	12	1	3	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR597UDW	False	OCI-LY1	H3K27ac	paired-ended	3	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR597ULV	False	VCaP	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR600TOW	False	gastroesophageal sphincter	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR601VHO	False	gastrocnemius medialis	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR603KDJ	True	chorionic villus		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR603SVD	True	neural progenitor cell		single-ended	7	2	3	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR604JDV	False	cingulate gyrus	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR606WJA	False	chorionic villus	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR607IHY	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR607UWA	True	vagina		single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR608IVH	True	left ventricle myocardium inferior		single-ended	16	2	4	Illumina NextSeq 500	male	Homo sapiens	isogenic
ENCSR608XIG	False	temporal lobe	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR612BWE	False	pancreas	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	male	Homo sapiens	unreplicated
ENCSR613JAK	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR614NPG	False	A549	H3K27ac	single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR615HXA	False	peripheral blood mononuclear cell	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR617MEB	True	temporal lobe		single-ended	6	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR617ONQ	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR619POC	False	chorionic villus	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR619TOU	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR620AZM	False	common myeloid progenitor, CD34-positive	H3K27ac	single-ended	3	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR620XWM	True	vagina		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR621OKB	True	skin epidermis		single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR625BDY	True	peripheral blood mononuclear cell		single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR627RBH	True	A549		single-ended	3	3	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR628GIZ	True	stomach		single-ended	2	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR629GZZ	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR632MPN	True	heart left ventricle		single-ended	16	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR633OJL	True	mesenchymal stem cell		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR634QZP	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR637ISS	False	foreskin keratinocyte	H3K27ac	paired-ended	2	2	2	Illumina HiSeq 4000	male	Homo sapiens	anisogenic
ENCSR638CSE	True	dorsolateral prefrontal cortex		single-ended	12	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR639HUV	True	muscle of trunk		single-ended	3	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR640XRV	False	transverse colon	H3K27ac	single-ended	14	2	4	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR641QPH	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR641SDI	False	sigmoid colon	H3K27ac	single-ended	4	1	2	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR641YLG	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR642HHF	False	adrenal gland	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR642LNB	True	muscle layer of duodenum		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR642QDW	True	gastroesophageal sphincter		single-ended	4	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR642TGI	True	duodenal mucosa		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR643TBI	False	chorionic villus	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR644CBZ	True	naive thymus-derived CD4-positive, alpha-beta T cell		single-ended	3	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR644XSS	True	esophagus squamous epithelium		single-ended	6	1	2	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR645MXO	False	heart right ventricle	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR645SYH	False	esophagus	H3K27ac	single-ended	1	1	1	Illumina Genome Analyzer	female	Homo sapiens	unreplicated
ENCSR646FGM	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR648VOG	True	trophoblast cell		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR650AIN	True	left lung		single-ended	20	2	4	Illumina NextSeq 500	female	Homo sapiens	isogenic
ENCSR650EVQ	True	endodermal cell		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR650OZF	False	dendritic cell	H3K27ac	paired-ended	1	1	1	Illumina NextSeq 500	unknown	Homo sapiens	unreplicated
ENCSR651ISB	True	transverse colon		single-ended	20	3	6	Illumina HiSeq 2500	male	Homo sapiens	isogenic
ENCSR652EPR	True	esophagus squamous epithelium		single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR652ULP	True	right cardiac atrium		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR652ZLE	True	spleen		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR655XLM	False	small intestine	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR656PGJ	False	UCSF-4	H3K27ac	paired-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR656ZEQ	False	rectal smooth muscle tissue	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR659RHV	False	large intestine	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR659WYW	True	fibroblast of breast		single-ended	4	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR660IQS	False	Karpas-422	H3K27ac	single-ended	2	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR661KMA	False	HCT116	H3K27ac	single-ended	2	2	3	Illumina HiSeq 2000	male	Homo sapiens	isogenic
ENCSR663GIS	True	motor neuron		paired-ended	1	1	1	Illumina NovaSeq 6000	male	Homo sapiens	unreplicated
ENCSR664MLM	True	rectal smooth muscle tissue		single-ended	1	1	1	Illumina Genome Analyzer IIx	female	Homo sapiens	unreplicated
ENCSR666TFS	False	foreskin keratinocyte	H3K27ac	paired-ended	4	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR668DIS	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR668EVA	False	right atrium auricular region	H3K27ac	single-ended	8	2	2	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR668GBL	False	spleen	H3K27ac	single-ended	16	2	4	Illumina HiSeq 2500	female	Homo sapiens	isogenic
ENCSR672UXO	True	SJCRH30		paired-ended	1	1	1	Illumina HiSeq 4000	male	Homo sapiens	unreplicated
ENCSR674VPA	False	naive thymus-derived CD4-positive, alpha-beta T cell	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	unknown	Homo sapiens	unreplicated
ENCSR675ZDM	True	kidney		single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR677LBH	False	gastroesophageal sphincter	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR678LND	False	liver	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR679OVD	False	esophagus	H3K27ac	single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR680IWU	False	motor neuron	H3K27ac	paired-ended	2	2	2	Illumina NovaSeq 6000	male	Homo sapiens	isogenic
ENCSR681ELN	False	dorsolateral prefrontal cortex	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR681RQP	False	placenta	H3K27ac	single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR683RXF	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR683VJG	True	right lobe of liver		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
ENCSR685XVI	False	skin epidermis	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2500	male	Homo sapiens	unreplicated
ENCSR687HYO	True	liver		single-ended	1	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR687YOP	True	small intestine		single-ended	2	1	1	Illumina Genome Analyzer IIx	male	Homo sapiens	unreplicated
ENCSR687ZCM	False	muscle of leg	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2000	female	Homo sapiens	unreplicated
ENCSR687ZYY	True	thymus		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR688CIB	True	psoas muscle		single-ended	3	1	2	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR693VHX	False	foreskin melanocyte	H3K27ac	paired-ended	2	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR694AEQ	True	heart left ventricle		single-ended	1	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR694RCH	False	muscle layer of duodenum	H3K27ac	single-ended	4	1	1	Illumina HiSeq 2000	male	Homo sapiens	unreplicated
ENCSR696HNV	True	heart left ventricle		single-ended	8	1	2	Illumina NextSeq 500	male	Homo sapiens	unreplicated
ENCSR697MUJ	False	skin epidermis	H3K27ac	single-ended	2	1	1	Illumina HiSeq 2500	female	Homo sapiens	unreplicated
ENCSR698TWO	True	NCI-H929		paired-ended	1	1	1	Illumina HiSeq 4000	female	Homo sapiens	unreplicated
ENCSR698YQL	True	dorsolateral prefrontal cortex		single-ended	8	1	2	Illumina NextSeq 500	female	Homo sapiens	unreplicated
